Filename,MSE,PSNR (dB),Compression Ratio
breast_image_0_gray.png,73.16,29.49,0.66
breast_image_100_gray.png,74.90,29.39,0.66
breast_image_101_color.png,233.23,24.45,1.39
breast_image_102_gray.png,73.68,29.46,0.66
breast_image_103_color.png,234.69,24.43,1.39
breast_image_104_gray.png,74.69,29.40,0.66
breast_image_105_color.png,230.11,24.51,1.37
breast_image_106_gray.png,75.10,29.37,0.66
breast_image_107_color.png,228.21,24.55,1.37
breast_image_108_gray.png,75.08,29.38,0.66
breast_image_109_color.png,233.62,24.45,1.38
breast_image_10_gray.png,73.35,29.48,0.66
breast_image_110_gray.png,74.49,29.41,0.66
breast_image_111_color.png,228.65,24.54,1.37
breast_image_112_gray.png,74.64,29.40,0.66
breast_image_113_color.png,234.68,24.43,1.39
breast_image_114_gray.png,75.52,29.35,0.66
breast_image_115_color.png,234.57,24.43,1.39
breast_image_116_gray.png,75.26,29.37,0.66
breast_image_117_color.png,235.63,24.41,1.39
breast_image_118_gray.png,73.86,29.45,0.66
breast_image_119_color.png,231.78,24.48,1.38
breast_image_11_color.png,234.58,24.43,1.39
breast_image_120_gray.png,74.84,29.39,0.66
breast_image_121_color.png,234.85,24.42,1.39
breast_image_122_gray.png,75.34,29.36,0.66
breast_image_123_color.png,233.60,24.45,1.38
breast_image_124_gray.png,73.25,29.48,0.66
breast_image_125_color.png,234.63,24.43,1.39
breast_image_126_gray.png,74.33,29.42,0.65
breast_image_127_color.png,234.46,24.43,1.39
breast_image_128_gray.png,74.59,29.40,0.66
breast_image_129_color.png,235.16,24.42,1.38
breast_image_12_gray.png,72.85,29.51,0.65
breast_image_130_gray.png,73.58,29.46,0.65
breast_image_131_color.png,234.25,24.43,1.39
breast_image_132_gray.png,73.03,29.50,0.65
breast_image_133_color.png,233.94,24.44,1.39
breast_image_134_gray.png,75.60,29.35,0.66
breast_image_135_color.png,234.70,24.43,1.39
breast_image_136_gray.png,75.16,29.37,0.66
breast_image_137_color.png,228.63,24.54,1.37
breast_image_138_gray.png,75.13,29.37,0.66
breast_image_139_color.png,232.67,24.46,1.39
breast_image_13_color.png,234.51,24.43,1.39
breast_image_140_gray.png,75.44,29.36,0.66
breast_image_141_color.png,234.48,24.43,1.39
breast_image_142_gray.png,74.02,29.44,0.65
breast_image_143_color.png,234.63,24.43,1.38
breast_image_144_gray.png,74.95,29.38,0.66
breast_image_145_color.png,230.07,24.51,1.38
breast_image_146_gray.png,75.17,29.37,0.66
breast_image_147_color.png,234.92,24.42,1.39
breast_image_148_gray.png,73.57,29.46,0.66
breast_image_149_color.png,234.59,24.43,1.38
breast_image_14_gray.png,75.25,29.37,0.66
breast_image_150_gray.png,72.05,29.55,0.65
breast_image_151_color.png,232.58,24.47,1.38
breast_image_152_gray.png,73.10,29.49,0.66
breast_image_153_color.png,234.51,24.43,1.39
breast_image_154_gray.png,76.02,29.32,0.66
breast_image_155_color.png,234.09,24.44,1.39
breast_image_156_gray.png,74.51,29.41,0.66
breast_image_157_color.png,233.92,24.44,1.38
breast_image_158_gray.png,74.88,29.39,0.66
breast_image_159_color.png,234.71,24.43,1.39
breast_image_15_color.png,229.35,24.53,1.37
breast_image_160_gray.png,74.03,29.44,0.65
breast_image_161_color.png,234.42,24.43,1.38
breast_image_162_gray.png,75.49,29.35,0.66
breast_image_163_color.png,234.88,24.42,1.39
breast_image_164_gray.png,75.61,29.34,0.66
breast_image_165_color.png,234.36,24.43,1.39
breast_image_166_gray.png,74.11,29.43,0.66
breast_image_167_color.png,233.73,24.44,1.39
breast_image_168_gray.png,74.70,29.40,0.66
breast_image_169_color.png,229.46,24.52,1.37
breast_image_16_gray.png,74.97,29.38,0.66
breast_image_170_gray.png,74.51,29.41,0.66
breast_image_171_color.png,234.93,24.42,1.39
breast_image_172_gray.png,75.13,29.37,0.66
breast_image_173_color.png,228.48,24.54,1.38
breast_image_174_gray.png,74.25,29.42,0.66
breast_image_175_color.png,233.05,24.46,1.39
breast_image_176_gray.png,75.15,29.37,0.66
breast_image_177_color.png,230.37,24.51,1.37
breast_image_178_gray.png,73.91,29.44,0.66
breast_image_179_color.png,229.60,24.52,1.37
breast_image_17_color.png,229.37,24.53,1.37
breast_image_180_gray.png,75.04,29.38,0.66
breast_image_181_color.png,234.80,24.42,1.39
breast_image_182_gray.png,76.32,29.30,0.66
breast_image_183_color.png,233.08,24.46,1.39
breast_image_184_gray.png,74.73,29.40,0.66
breast_image_185_color.png,234.46,24.43,1.39
breast_image_186_gray.png,74.62,29.40,0.66
breast_image_187_color.png,234.52,24.43,1.39
breast_image_188_gray.png,75.56,29.35,0.66
breast_image_189_color.png,236.34,24.40,1.39
breast_image_18_gray.png,75.01,29.38,0.66
breast_image_190_gray.png,74.85,29.39,0.66
breast_image_191_color.png,235.23,24.42,1.39
breast_image_192_gray.png,74.46,29.41,0.66
breast_image_193_color.png,233.18,24.45,1.39
breast_image_194_gray.png,73.62,29.46,0.65
breast_image_195_color.png,234.91,24.42,1.39
breast_image_196_gray.png,75.16,29.37,0.66
breast_image_197_color.png,235.16,24.42,1.39
breast_image_198_gray.png,75.10,29.37,0.66
breast_image_199_color.png,230.18,24.51,1.37
breast_image_19_color.png,229.65,24.52,1.37
breast_image_1_color.png,233.97,24.44,1.38
breast_image_200_gray.png,75.25,29.37,0.66
breast_image_201_color.png,234.90,24.42,1.39
breast_image_202_gray.png,74.70,29.40,0.66
breast_image_203_color.png,230.36,24.51,1.37
breast_image_204_gray.png,75.23,29.37,0.66
breast_image_205_color.png,230.06,24.51,1.37
breast_image_206_gray.png,73.18,29.49,0.66
breast_image_207_color.png,234.19,24.44,1.39
breast_image_208_gray.png,75.27,29.36,0.66
breast_image_209_color.png,227.28,24.57,1.37
breast_image_20_gray.png,75.05,29.38,0.66
breast_image_210_gray.png,74.54,29.41,0.66
breast_image_211_color.png,234.24,24.43,1.39
breast_image_212_gray.png,74.76,29.39,0.66
breast_image_213_color.png,229.82,24.52,1.37
breast_image_214_gray.png,74.84,29.39,0.66
breast_image_215_color.png,233.98,24.44,1.39
breast_image_216_gray.png,72.87,29.51,0.65
breast_image_217_color.png,234.50,24.43,1.39
breast_image_218_gray.png,73.62,29.46,0.66
breast_image_219_color.png,234.23,24.43,1.39
breast_image_21_color.png,233.62,24.45,1.39
breast_image_220_gray.png,73.14,29.49,0.66
breast_image_221_color.png,233.46,24.45,1.39
breast_image_222_gray.png,74.78,29.39,0.66
breast_image_223_color.png,230.37,24.51,1.37
breast_image_224_gray.png,75.06,29.38,0.66
breast_image_225_color.png,234.71,24.43,1.39
breast_image_226_gray.png,75.50,29.35,0.66
breast_image_227_color.png,228.51,24.54,1.37
breast_image_228_gray.png,75.29,29.36,0.66
breast_image_229_color.png,229.22,24.53,1.38
breast_image_22_gray.png,75.16,29.37,0.66
breast_image_230_gray.png,75.06,29.38,0.66
breast_image_231_color.png,233.08,24.46,1.38
breast_image_232_gray.png,73.98,29.44,0.66
breast_image_233_color.png,233.43,24.45,1.39
breast_image_234_gray.png,75.18,29.37,0.66
breast_image_235_color.png,229.19,24.53,1.37
breast_image_236_gray.png,75.50,29.35,0.66
breast_image_237_color.png,234.08,24.44,1.39
breast_image_238_gray.png,72.78,29.51,0.66
breast_image_239_color.png,228.45,24.54,1.37
breast_image_23_color.png,230.05,24.51,1.37
breast_image_240_gray.png,74.67,29.40,0.66
breast_image_241_color.png,233.90,24.44,1.39
breast_image_242_gray.png,75.25,29.37,0.66
breast_image_243_color.png,233.92,24.44,1.39
